DATETIME,RECIPE,TOOL,INDEX,VALUE,X,Y,REFERANCE,SUBSTANCE,SUBSTANCE_X_LENGTH,SUBSTANCE_Y_LENGTH,SUBSTANCE_PERIMETER,SUBSTANCE_AREA,SUBSTANCE_ELONGATION,FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,STRING
2018.01.08 15:35:09 195,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-09 195.bmp
2018.01.08 15:35:09 333,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-09 333.bmp
2018.01.08 15:35:09 469,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-09 469.bmp
2018.01.08 15:35:09 632,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-09 632.bmp
2018.01.08 15:35:09 774,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-09 774.bmp
2018.01.08 15:35:10 116,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-10 116.bmp
2018.01.08 15:35:10 210,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-10 210.bmp
2018.01.08 15:35:10 357,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-10 357.bmp
2018.01.08 15:35:10 493,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-10 493.bmp
2018.01.08 15:35:10 640,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-10 640.bmp
2018.01.08 15:35:10 792,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-10 792.bmp
2018.01.08 15:35:10 931,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\01\08\알수없음\15-35-10 931.bmp
